source,source_type,target,target_type,relation,evidence_count,evidence_titles
event:employment,event,asset:stocks,asset,NEUTRAL_IMPACT,542,"Mid-Day Update: Stocks Mixed as Investors Digest Employment Data | Wall St logs sharp losses as labor market strength stokes rate-hike fears | US STOCKS-Wall St eyes record open on strong jobs report, Pfizer COVID-19 pill c | US STOCKS-Wall St rises on stimulus bets as labor market rebound cools | Wall Street rises on stimulus bets as labor market rebound cools"
event:employment,event,asset:stocks,asset,POSITIVE_IMPACT,318,US STOCKS-Futures rise ahead of weekly unemployment data | Stimulus bets set to lift Wall Street as labor market rebound slows | Wall Street rallies to end higher on surprise U.S. jobs report | Wall Street ends four-day rally in advance of May jobs report | Stocks Climb Before the Open as U.S. ADP Jobs Report Looms
event:employment,event,asset:stocks,asset,NEGATIVE_IMPACT,280,"Mid-Day Update: Stocks Down, But Off Lows After Disappointing Employment Data | US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears | Wall St set to open higher on surprise drop in unemployment rate | Markets Today: Stocks Drop on Apple Weakness and U.S. Labor Market Strength | US STOCKS-Wall Street closes lower after US jobs report, Apple weighs"
asset:stocks,asset,asset:futures,asset,POSITIVE_CORRELATION,240,"US STOCKS-Futures rise ahead of weekly unemployment data | Wall St futures inch up as investors pin hopes on Fed rate cuts | US Stocks futures inch up ahead of more megacap earnings, employment data | US STOCKS-Futures climb on Apple earnings cheer, key jobs report on tap | US STOCKS-Wall St futures slide after robust November jobs report"
event:employment,event,asset:dollar,asset,NEUTRAL_IMPACT,211,Silver Prices Forecast: XAG/USD’s Stability Tested by Upcoming U.S. Labor Market | Silver Prices Forecast: XAG/USD Dips Ahead of US Labor Market Report | Eurozone Inflation and U.S ADP Nonfarm Payrolls Put the EUR and Dollar in Focus | Service Sector PMIs and ADP Nonfarm Payrolls to Keep the EUR and USD in Focus | Service Sector PMI and U.S Nonfarm Payrolls Put the EUR and USD in the Spotlight
event:employment,event,event:rate_hike,event,CO_OCCURRENCE,148,US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears | Wall St logs sharp losses as labor market strength stokes rate-hike fears | US STOCKS-Wall St set for lower open as jobs report stokes rate-hike worries | US STOCKS-Wall St subdued as signs of tight labor market fuel rate hike fears | US STOCKS-Wall Street climbs after jobs report rekindles hopes of smaller rate h
event:employment,event,asset:futures,asset,NEUTRAL_IMPACT,117,"US Stocks futures inch up ahead of more megacap earnings, employment data | S&P Futures Tread Water as Investors Await Key U.S. Jobs Report | Futures Hold Gains After Labor Market Data Misses Expectations | US Equities Futures Edge Up Ahead of Pivotal Jobs Report | US STOCKS-Futures subdued ahead of more megacap earnings, employment data"
event:employment,event,asset:futures,asset,NEGATIVE_IMPACT,113,"US STOCKS-Wall St futures slide after robust November jobs report | Stock Futures Trading Lower as Oil Braces For OPEC Announcement, Jobs Report | US Futures Slip Ahead of Jobs Report | US STOCKS-Futures dip ahead of labor market data | Nasdaq Futures Slip as Bond Yields Rebound, U.S. Jobs Report Looms"
event:employment,event,asset:futures,asset,POSITIVE_IMPACT,102,"US STOCKS-Futures rise ahead of weekly unemployment data | US STOCKS-Futures climb on Apple earnings cheer, key jobs report on tap | S&P Futures Climb as Investors Await Key U.S. Jobs Report | U.S. Stock Futures Build on Gains After Above-Consensus Gain in February Employm | Nasdaq Futures Climb as Bond Yields Retreat, U.S. Jobs Report Looms"
event:employment,event,asset:bonds,asset,NEGATIVE_IMPACT,91,"GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | GLOBAL MARKETS-Stocks, bonds tumble as stellar US jobs report may force Fed reth | TREASURIES-Yields fall as COVID-19, jobs report cloud economic view | PRECIOUS-Gold steadies as bond yields slip; focus on U.S. jobs report"
